old_path,parent_frame,unicode,next_frame,real_heisig
04-strokes/p271.1-sunglasses_half_monocle.svg,,ヰ~㐄,1114,
12-strokes/p271.2-shredder.svg,,敝,1118,
06-strokes/p272-banner.svg,,!!𭤨,1124,
04-strokes/p273-rag.svg,1127,,1127,
03-strokes/p274-flag.svg,,尸,1132,
04-strokes/p278-altar.svg,1167,⺭,1168,
05-strokes/p286-saw.svg,,乍,1222,
03-strokes/p287.1-broom.svg,,彐,1225,
03-strokes/p287.2-broom-top.svg,^,,1225,
03-strokes/p288.1-broom-old.svg,^,⺔,1237,
04-strokes/p288.2-rake.svg,,⺺,1238,
08-strokes/p289.1-sieve.svg,,隶,1243,
04-strokes/p289.2-mop.svg,,尹,1245,
06-strokes/p290-comb.svg,,而,1248,2243
02-strokes/p291-shovel.svg,,凵,1252,
04-strokes/p294-salad.svg,,!龷,1268,
07-strokes/p295.1-caverns.svg,,,1275,
05-strokes/p295.2-haystack.svg,,卉,1280,
08-strokes/p296-straw_man.svg,,尭,1284,
06-strokes/p297-quarter.svg,,!龹~𠔉,1290,
02-strokes/p301-spear.svg,,,1315,
05-strokes/p302.1-dollar_sign.svg,,弗,1325,
05-strokes/p302.2-dollar_sign-below.svg,^,!!𢎨,1325,
02-strokes/p303-snare.svg,,丂,1329,
02-strokes/p304-slingshot.svg,,,1335,
04-strokes/p305-old_man.svg,1340,耂,1341,
06-strokes/p307-scissors.svg,,夹,1355,
06-strokes/p308-maestro.svg,,𠂤,1359,
09-strokes/p311-jawbone.svg,,咼,1386,
03-strokes/p312-pinnacle-left.svg,,⻖,1390,
04-strokes/p316-paper_punch.svg,,㓁,1425,
03-strokes/p322-cocoon.svg,,幺,1478,
02-strokes/p325-stamp.svg,,卩,1497,
02-strokes/p326.1-chop_seal.svg,,ㄗ,1503,
02-strokes/p326.2-chop_seal-small.svg,^,マ,1503,
02-strokes/p328.1-fingerprint.svg,,㔾,1516,
05-strokes/p328.2-mailbox.svg,,夗,1521,
03-strokes/p329.1-receipt.svg,,!!𠂎,1525,
03-strokes/p329.2-receipt-left.svg,^,!!𠂎,1525,
